ARM	13231.431	2836563	1.7627003	75.1	4.5594
ARM	9551.158	2928984	2.4240553	73.3	4.473529
ARM	11506.039	2878598	2.6054382	74.4	4.36
ARM	12509.64	2851929	2.4544842	74.9	4.3206
ARM	10289.976	2914428	2.2302885	73.5	
ARM	11105.532	2889937	2.4914103	74.1	4.35
ARM	13357.697	2805610	1.8534304	72.2	5.2826
ARM	10677.304	2901386	2.1713772	73.7	
ARM	11580.384	2865841	3.0357645	74.7	4.376
ARM	14193.117	2790971	2.1856172	72	5.3986
ARM	14317.553	2820604	2.5881004	75.4	4.6768
FRA	42862.414	62775272	1.3635943	81.8	6.746459
FRA	42813.934	63335180	1.2268063	82	
FRA	43705.15	63989320	1.2173907	82.4	6.442
FRA	43345.785	63809768	1.5859641	82.2	6.478
FRA	44577.066	64144092	1.106883	82.5	6.4893
FRA	43021.395	63588496	1.2455084	82.5	6.575
FRA	44993.125	64531448	1.13743	82.5	6.6867
FRA	45245.96	64277812	1.0827998	82.6	6.5921
FRA	45922.793	64399760	1.1692591	82.7	6.6638
FRA	42789.05	63071412	1.2430353	81.8	
FRA	42233.14	64480052	1.0732001	82.2	6.6899
JAM	9745.554	2784542	36.0921	73	5.709
JAM	9800.507	2794455	43.264412	72.4	5.51
JAM	9198.148	2820438	47.262203	71.9	6.3092
JAM	10160.764	2811842	45.84195	71.8	5.8898
JAM	9715.208	2759819	39.930183	73.4	
JAM	9906.04	2802699	48.310635	72	5.311
JAM	9718.625	2773134	43.34454	73.4	
JAM	9596.564	2827701	52.127274	70.5	5.8496
JAM	9984.577	2808388	58.646004	71.9	5.8898
JAM	10244.366	2813776	47.62289	71.8	5.8898
JAM	9823.773	2746169	41.25747	73.1	6.207882
LBR	1455.6377	4985290		61.1	4.5579
LBR	1521.7335	4889396		60.9	3.9753
LBR	1475.8392	4181148	3.8506157	59.6	4.039651
LBR	1538.4072	4331749	3.1165302	59.9	
LBR	1613.8655	4519410		59.1	4.571
